iter	Passed	Remaining
0	59	59375
1	59	29747
2	59	19848
3	59	14896
4	59	11927
5	60	9954
6	60	8540
7	60	7472
8	60	6641
9	60	5976
10	60	5435
11	60	4988
12	60	4603
13	60	4274
14	60	3988
15	60	3743
16	60	3524
17	60	3327
18	61	3154
19	61	2997
20	61	2854
21	61	2724
22	61	2605
23	61	2498
24	61	2399
25	61	2308
26	61	2221
27	61	2142
28	61	2068
29	61	1999
30	61	1935
31	62	1875
32	62	1821
33	62	1767
34	62	1717
35	62	1670
36	62	1625
37	62	1582
38	62	1542
39	62	1504
40	62	1467
41	62	1433
42	62	1401
43	63	1369
44	63	1341
45	63	1314
46	63	1285
47	63	1258
48	63	1231
49	63	1207
50	63	1183
51	63	1160
52	63	1137
53	63	1116
54	63	1095
55	63	1075
56	63	1057
57	63	1038
58	64	1021
59	64	1004
60	64	988
61	64	972
62	64	956
63	64	942
64	64	927
65	64	912
66	64	898
67	64	885
68	64	872
69	64	860
70	64	848
71	64	837
72	65	826
73	65	815
74	65	805
75	65	794
76	65	783
77	65	775
78	65	765
79	65	756
80	65	746
81	65	737
82	66	730
83	66	721
84	66	714
85	66	705
86	66	697
87	66	690
88	66	681
89	66	674
90	66	666
91	66	660
92	67	653
93	67	646
94	67	640
95	67	632
96	67	626
97	67	619
98	67	613
99	67	606
100	67	601
101	67	595
102	67	589
103	67	584
104	67	578
105	67	572
106	67	567
107	68	561
108	68	556
109	68	551
110	68	546
111	68	541
112	68	536
113	68	531
114	68	527
115	68	522
116	68	517
117	68	513
118	68	508
119	68	504
120	68	499
121	68	495
122	68	491
123	68	487
124	69	483
125	69	479
126	69	475
127	69	471
128	69	467
129	69	464
130	69	460
131	69	458
132	69	454
133	69	451
134	69	447
135	69	444
136	70	441
137	70	437
138	70	434
139	70	431
140	70	428
141	70	425
142	70	422
143	70	418
144	70	415
145	70	412
146	70	409
147	70	406
148	70	403
149	70	400
150	70	397
151	70	394
152	70	392
153	70	389
154	70	386
155	71	384
156	71	381
157	71	378
158	71	376
159	71	373
160	71	371
161	71	369
162	71	366
163	71	364
164	71	361
165	71	359
166	71	357
167	71	355
168	71	353
169	71	351
170	72	349
171	72	347
172	72	345
173	72	343
174	72	341
175	72	339
176	72	337
177	72	335
178	72	333
179	72	331
180	72	329
181	72	327
182	72	325
183	72	323
184	72	321
185	72	319
186	73	317
187	73	315
188	73	314
189	73	312
190	73	310
191	73	308
192	73	307
193	73	305
194	73	303
195	73	301
196	73	301
197	74	300
198	74	298
199	74	297
200	74	295
201	74	294
202	74	292
203	74	290
204	74	289
205	74	287
206	74	286
207	74	284
208	74	282
209	74	281
210	74	279
211	74	278
212	75	277
213	75	275
214	75	273
215	75	272
216	75	271
217	75	269
218	75	268
219	75	266
220	75	265
221	75	264
222	75	262
223	75	261
224	75	260
225	75	258
226	75	257
227	75	256
228	75	254
229	75	253
230	75	252
231	75	250
232	75	249
233	75	248
234	75	247
235	75	245
236	75	244
237	76	243
238	76	242
239	76	241
240	76	240
241	76	238
242	76	237
243	76	236
244	76	235
245	76	234
246	76	233
247	76	232
248	76	231
249	76	230
250	76	229
251	76	228
252	76	227
253	77	226
254	77	225
255	77	224
256	77	223
257	77	222
258	77	221
259	77	220
260	77	219
261	77	218
262	77	217
263	77	217
264	77	216
265	77	215
266	78	214
267	78	213
268	78	212
269	78	211
270	78	211
271	78	210
272	78	209
273	78	208
274	78	207
275	78	207
276	79	206
277	79	205
278	79	204
279	79	203
280	79	202
281	79	201
282	79	201
283	79	200
284	79	199
285	79	198
286	79	197
287	79	197
288	79	196
289	79	195
290	79	194
291	79	193
292	80	193
293	80	192
294	80	191
295	80	190
296	80	190
297	80	189
298	80	188
299	80	187
300	80	187
301	80	186
302	80	185
303	80	184
304	80	184
305	81	183
306	81	182
307	81	182
308	81	181
309	81	181
310	81	180
311	81	179
312	81	179
313	81	178
314	81	177
315	81	177
316	81	176
317	81	175
318	81	174
319	82	174
320	82	173
321	82	172
322	82	172
323	82	171
324	82	170
325	82	170
326	82	169
327	82	169
328	82	168
329	82	167
330	82	167
331	82	166
332	82	165
333	82	165
334	82	164
335	83	164
336	83	163
337	83	162
338	83	162
339	83	161
340	83	161
341	83	160
342	83	160
343	83	159
344	83	158
345	83	158
346	83	157
347	83	157
348	83	156
349	84	156
350	84	155
351	84	155
352	84	154
353	84	154
354	84	153
355	84	152
356	84	152
357	84	151
358	84	151
359	84	150
360	84	150
361	84	149
362	84	149
363	85	148
364	85	148
365	85	147
366	85	147
367	85	146
368	85	146
369	85	145
370	85	145
371	85	144
372	85	144
373	85	143
374	85	143
375	86	142
376	86	142
377	86	141
378	86	141
379	86	140
380	86	140
381	86	140
382	86	139
383	86	139
384	86	138
385	86	138
386	86	137
387	87	137
388	87	136
389	87	136
390	87	135
391	87	135
392	87	135
393	87	134
394	87	134
395	87	133
396	87	133
397	87	132
398	87	132
399	87	131
400	87	131
401	88	130
402	88	130
403	88	130
404	88	129
405	88	129
406	88	128
407	88	128
408	88	127
409	88	127
410	88	127
411	88	126
412	88	126
413	88	125
414	89	125
415	89	125
416	89	124
417	89	124
418	89	123
419	89	123
420	89	122
421	89	122
422	89	122
423	89	121
424	89	121
425	89	120
426	89	120
427	89	120
428	89	119
429	90	119
430	90	118
431	90	118
432	90	118
433	90	117
434	90	117
435	90	117
436	90	116
437	90	116
438	90	115
439	90	115
440	90	115
441	91	114
442	91	114
443	91	114
444	91	113
445	91	113
446	91	113
447	91	112
448	91	112
449	91	112
450	91	111
451	91	111
452	91	110
453	91	110
454	91	110
455	91	109
456	92	109
457	92	108
458	92	108
459	92	108
460	92	107
461	92	107
462	92	107
463	92	106
464	92	106
465	92	106
466	92	105
467	92	105
468	92	105
469	92	104
470	92	104
471	92	103
472	93	103
473	93	103
474	93	102
475	93	102
476	93	102
477	93	101
478	93	101
479	93	101
480	93	100
481	93	100
482	93	100
483	93	99
484	93	99
485	93	99
486	93	98
487	93	98
488	94	98
489	94	97
490	94	97
491	94	97
492	94	96
493	94	96
494	94	96
495	94	95
496	94	95
497	94	95
498	94	94
499	94	94
500	94	94
501	94	94
502	94	93
503	94	93
504	95	93
505	95	92
506	95	92
507	95	92
508	95	91
509	95	91
510	95	91
511	95	91
512	95	90
513	95	90
514	96	90
515	96	90
516	96	89
517	96	89
518	96	89
519	96	88
520	96	88
521	96	88
522	96	88
523	96	87
524	96	87
525	96	87
526	97	87
527	97	86
528	97	86
529	97	86
530	97	85
531	97	85
532	97	85
533	97	85
534	97	84
535	97	84
536	97	84
537	97	83
538	97	83
539	97	83
540	98	83
541	98	82
542	98	82
543	98	82
544	98	82
545	98	81
546	98	81
547	98	81
548	98	81
549	98	80
550	98	80
551	98	80
552	98	79
553	99	79
554	99	79
555	99	79
556	99	79
557	99	78
558	99	78
559	99	78
560	99	78
561	99	77
562	99	77
563	99	77
564	100	76
565	100	76
566	100	76
567	100	76
568	100	76
569	100	75
570	100	75
571	100	75
572	100	75
573	100	74
574	100	74
575	100	74
576	100	74
577	100	73
578	101	73
579	101	73
580	101	72
581	101	72
582	101	72
583	101	72
584	101	72
585	101	71
586	101	71
587	101	71
588	101	71
589	102	70
590	102	70
591	102	70
592	102	70
593	102	69
594	102	69
595	102	69
